dim1,dim1,Rank,logRank,ClusterNo,ClusterSize,noOfNearestNeighbour
656.77301,117.589996,0.0,0.0,31,2167,6
536.731018,342.661987,0.0,0.0,31,2167,7
563.982971,190.306,1449.0,3.161368002234975,22,579,7
320.544006,334.019012,0.0,0.0,2,276,7
129.748001,415.173004,0.0,0.0,17,2676,7
564.97699,405.80899,0.0,0.0,31,2167,5
626.16803,325.358002,3.0,0.6020599913279624,26,230,6
170.098007,278.631989,0.0,0.0,17,2676,9
243.063004,441.615997,0.0,0.0,6,4,3
441.855988,166.511993,33.0,1.5314789170422551,42,612,8
641.458008,402.427002,0.0,0.0,31,2167,8
165.677002,258.368011,0.0,0.0,17,2676,8
615.776001,123.528999,0.0,0.0,31,2167,6
47.348,173.026993,0.0,0.0,12,1025,3
286.177002,342.243988,0.0,0.0,38,10,2
42.349998,154.636002,0.0,0.0,12,1025,4
163.807999,359.445007,37.0,1.5797835966168101,19,342,8
148.070007,264.644989,0.0,0.0,17,2676,9
473.192993,318.136993,0.0,0.0,17,2676,2
110.273003,148.951004,0.0,0.0,12,1025,6
154.587997,342.123993,6.0,0.8450980400142568,19,342,9
188.031006,106.501999,0.0,0.0,8,936,3
626.596985,408.743011,0.0,0.0,31,2167,5
145.341003,168.382004,0.0,0.0,12,1025,7
617.981018,186.985001,0.0,0.0,31,2167,11
223.218002,98.852997,0.0,0.0,8,936,6
646.952026,121.884003,0.0,0.0,31,2167,9
613.054993,198.557007,0.0,0.0,31,2167,9
217.100006,353.244995,0.0,0.0,33,12,3
476.220001,155.419998,690.0,2.8394780473741985,42,612,10
21.128,311.597992,0.0,0.0,17,2676,9
75.241997,182.811005,0.0,0.0,12,1025,4
353.394989,417.424011,0.0,0.0,17,2676,2
129.201004,68.598,0.0,0.0,7,17,6
170.356995,371.300995,125.0,2.100370545117563,19,342,5
320.928009,424.826996,0.0,0.0,17,2676,8
516.401978,86.344002,70.0,1.8512583487190752,42,612,8
359.776001,423.584015,0.0,0.0,48,6,2
638.393982,86.559998,0.0,0.0,31,2167,7
150.483002,75.369003,771.0,2.887617300335736,8,936,9
600.05603,427.462006,0.0,0.0,31,2167,5
547.299988,454.506012,0.0,0.0,31,2167,5
135.699997,272.295013,0.0,0.0,17,2676,7
369.291992,363.919006,1.0,0.3010299956639812,2,276,5
127.582001,87.001999,304.0,2.484299839346786,8,936,10
558.185974,327.880005,0.0,0.0,31,2167,12
297.020996,261.791992,0.0,0.0,17,2676,9
160.970993,335.471008,356.0,2.552668216112193,19,342,7
228.677002,408.656006,0.0,0.0,17,2676,8
303.339996,79.885002,421.0,2.625312450961674,8,936,8
199.936996,144.559998,0.0,0.0,12,1025,11
126.147003,426.477997,0.0,0.0,17,2676,8
536.09198,243.266998,0.0,0.0,22,579,7
211.455994,169.444,0.0,0.0,12,1025,7
628.419006,173.817001,0.0,0.0,31,2167,5
555.273987,280.162994,0.0,0.0,31,2167,7
284.822998,433.441986,0.0,0.0,17,2676,4
205.843994,156.134995,0.0,0.0,12,1025,6
252.940002,342.634003,0.0,0.0,37,4,2
289.777008,85.092003,12.0,1.1139433523068367,8,936,8
161.942001,107.855003,61.0,1.792391689498254,8,936,7
678.869995,439.984985,0.0,0.0,31,2167,2
668.520996,441.214996,0.0,0.0,31,2167,7
473.494995,40.794998,0.0,0.0,42,612,6
136.164993,234.908997,0.0,0.0,49,4,3
331.536987,277.278992,0.0,0.0,17,2676,4
227.753998,161.722,0.0,0.0,12,1025,6
29.653999,94.833,738.0,2.8686444383948255,8,936,11
59.145,134.664993,0.0,0.0,12,1025,1
567.411011,281.058014,0.0,0.0,31,2167,6
345.661011,333.121002,118.0,2.0755469613925306,2,276,5
410.20401,399.162994,0.0,0.0,17,2676,9
427.972992,313.82901,0.0,0.0,17,2676,6
544.440979,446.593994,0.0,0.0,31,2167,8
199.862,417.181,0.0,0.0,17,2676,8
314.30899,322.428986,160.0,2.2068258760318495,2,276,5
50.758999,82.452003,8.0,0.9542425094393249,8,936,6
584.98999,401.860992,0.0,0.0,31,2167,9
435.265991,158.348999,442.0,2.6464037262230695,42,612,5
43.442001,345.700989,0.0,0.0,17,2676,4
105.735001,266.322998,0.0,0.0,17,2676,9
167.479004,175.306,0.0,0.0,12,1025,7
154.638,357.752991,5.0,0.7781512503836436,19,342,7
390.036987,278.677002,0.0,0.0,17,2676,9
590.210022,288.769012,0.0,0.0,31,2167,12
639.905029,111.399002,0.0,0.0,31,2167,7
561.278015,295.947998,0.0,0.0,31,2167,10
318.694,369.30899,0.0,0.0,1,31,9
242.164993,274.343994,0.0,0.0,17,2676,9
644.638,102.209999,0.0,0.0,31,2167,5
102.455002,162.998001,0.0,0.0,12,1025,13
419.838989,290.972992,0.0,0.0,17,2676,7
539.109009,215.755005,3222.0,3.5082603055123345,22,579,8
188.621994,417.372986,0.0,0.0,17,2676,10
375.708008,399.623993,0.0,0.0,17,2676,7
361.789001,349.989014,84.0,1.9294189257142926,2,276,7
605.15802,394.075012,0.0,0.0,31,2167,4
30.992001,171.520996,0.0,0.0,12,1025,8
221.783005,106.579002,0.0,0.0,8,936,2
205.268997,138.574005,0.0,0.0,12,1025,6
185.667999,335.604004,16.0,1.2304489213782739,19,342,9
424.294006,97.509003,42.0,1.6334684555795864,42,612,5
523.036011,399.070007,0.0,0.0,31,2167,7
631.953003,90.276001,0.0,0.0,31,2167,10
177.535004,415.957001,0.0,0.0,17,2676,6
334.993011,339.56601,7.0,0.9030899869919435,2,276,7
513.419983,414.022003,0.0,0.0,31,2167,6
201.416,163.787994,0.0,0.0,12,1025,4
645.271973,89.614998,0.0,0.0,31,2167,9
503.428986,236.263,0.0,0.0,22,579,6
606.664001,427.973999,0.0,0.0,31,2167,2
481.533997,161.421997,220.0,2.3443922736851106,42,612,12
517.442017,406.076996,0.0,0.0,31,2167,10
237.694,108.414001,82.0,1.919078092376074,8,936,7
447.132996,312.509003,0.0,0.0,17,2676,4
522.184021,366.365997,0.0,0.0,31,2167,7
428.716003,279.231995,0.0,0.0,17,2676,6
657.953979,380.846008,0.0,0.0,26,230,3
125.621002,323.664001,1.0,0.3010299956639812,19,342,4
203.886993,440.687012,0.0,0.0,17,2676,2
138.916,419.429993,0.0,0.0,17,2676,9
530.117004,253.397995,27.0,1.4471580313422192,22,579,5
162.988007,421.220001,0.0,0.0,17,2676,2
423.479004,292.575989,0.0,0.0,17,2676,8
525.344971,249.365005,253.0,2.404833716619938,22,579,8
445.312012,133.772995,57.0,1.7634279935629373,42,612,8
652.184021,369.588989,441.0,2.645422269349092,26,230,8
522.461975,396.860992,0.0,0.0,31,2167,6
560.739014,344.040009,0.0,0.0,31,2167,9
68.316002,152.404007,0.0,0.0,12,1025,10
113.525002,399.234985,0.0,0.0,17,2676,15
361.20401,261.708008,0.0,0.0,17,2676,12
35.911999,370.350006,0.0,0.0,17,2676,7
631.922974,124.433998,0.0,0.0,31,2167,2
426.097992,131.962997,95.0,1.9822712330395684,42,612,6
29.856001,350.19101,0.0,0.0,17,2676,2
444.186005,74.773003,296.0,2.4727564493172123,42,612,14
517.953003,434.911011,0.0,0.0,31,2167,11
330.317993,93.491997,114.0,2.060697840353612,8,936,5
89.978996,99.889999,1860.0,3.269746373130767,8,936,6
368.832001,354.847992,0.0,0.0,2,276,4
260.459991,243.822006,0.0,0.0,17,2676,4
257.160004,281.057007,0.0,0.0,17,2676,6
435.975006,303.593994,0.0,0.0,17,2676,8
403.571991,402.153015,0.0,0.0,17,2676,12
403.13501,307.951996,0.0,0.0,17,2676,3
324.640015,316.003998,66.0,1.8260748027008264,2,276,7
526.518982,373.040009,0.0,0.0,31,2167,12
613.237976,177.156998,0.0,0.0,31,2167,3
349.595001,361.018005,0.0,0.0,2,276,7
368.64801,321.57901,0.0,0.0,2,276,6
466.888,218.477997,89.0,1.954242509439325,22,579,4
209.759003,90.274002,37481.0,4.573822756329665,8,936,8
194.893997,145.770996,0.0,0.0,12,1025,7
544.416992,304.859985,0.0,0.0,31,2167,5
606.672974,393.790009,0.0,0.0,31,2167,4
336.544006,378.734009,20.0,1.3222192947339193,2,276,5
598.466003,375.536987,0.0,0.0,18,6,2
40.381001,148.067993,0.0,0.0,12,1025,6
623.314026,416.785004,0.0,0.0,31,2167,9
309.382996,352.445007,32.0,1.5185139398778875,2,276,6
79.310997,284.882996,0.0,0.0,17,2676,5
151.524994,100.473,0.0,0.0,8,936,3
576.856995,319.355988,0.0,0.0,31,2167,4
220.875,78.129997,96.0,1.9867717342662448,8,936,4
119.988998,91.217003,4005.0,3.6027109449575576,8,936,8
315.947998,355.893005,0.0,0.0,2,276,5
346.309998,345.015015,260.0,2.416640507338281,2,276,6
426.153015,292.544006,0.0,0.0,17,2676,7
440.257996,101.383003,1310.0,3.117602691690084,42,612,10
247.341995,162.660995,0.0,0.0,12,1025,6
659.093018,306.937012,6.0,0.8450980400142568,26,230,8
324.884003,170.819,0.0,0.0,12,1025,9
66.556,173.718994,0.0,0.0,12,1025,7
210.753006,253.785995,0.0,0.0,17,2676,6
637.757996,346.757996,0.0,0.0,26,230,7
603.078979,404.593994,0.0,0.0,31,2167,5
74.904999,410.269012,0.0,0.0,17,2676,2
229.238007,179.164993,0.0,0.0,12,1025,3
512.989014,248.854996,357.0,2.5538830266438746,22,579,9
183.524994,168.171005,0.0,0.0,12,1025,9
528.343994,223.132996,65.0,1.8195439355418688,22,579,5
571.421021,153.628006,267.0,2.428134794028789,22,579,10
322.877991,181.177002,0.0,0.0,12,1025,8
208.623993,105.845001,1936.0,3.287129620719111,8,936,5
257.717987,412.964996,0.0,0.0,17,2676,8
191.507996,423.796997,0.0,0.0,17,2676,5
544.46698,205.031006,0.0,0.0,22,579,9
183.649002,69.685997,0.0,0.0,4,6,2
269.04599,415.209015,0.0,0.0,17,2676,4
657.117004,452.665009,0.0,0.0,31,2167,4
341.696014,375.322998,16.0,1.2304489213782739,2,276,3
113.268997,397.28299,0.0,0.0,17,2676,14
632.650024,178.970993,0.0,0.0,31,2167,3
253.363007,93.762001,28666.0,4.457382246430382,8,936,4
521.940002,319.312012,0.0,0.0,31,2167,8
512.971008,346.678009,0.0,0.0,31,2167,8
242.242004,70.839996,6.0,0.8450980400142568,8,936,6
667.140015,364.03299,4.0,0.6989700043360189,26,230,6
156.889999,150.130997,0.0,0.0,12,1025,9
173.425995,425.682007,0.0,0.0,17,2676,12
462.584991,46.923,0.0,0.0,42,612,4
205.884003,183.192993,0.0,0.0,12,1025,4
321.800995,253.264008,0.0,0.0,17,2676,3
517.664978,70.057999,0.0,0.0,42,612,5
257.065002,103.917999,0.0,0.0,8,936,5
443.221985,101.127998,31.0,1.505149978319906,42,612,10
261.802002,258.218994,0.0,0.0,17,2676,6
377.427002,277.386993,0.0,0.0,17,2676,5
637.02301,204.921005,0.0,0.0,31,2167,6
613.468994,239.093002,0.0,0.0,31,2167,11
288.195007,413.503998,0.0,0.0,17,2676,9
583.867004,453.852997,0.0,0.0,31,2167,10
549.935974,207.559006,12.0,1.1139433523068367,22,579,8
163.863007,272.687988,0.0,0.0,17,2676,8
535.0,155.746002,2623.0,3.4189638307036225,22,579,3
330.765015,363.645996,22.0,1.3617278360175928,2,276,5
665.755005,327.566986,0.0,0.0,26,230,8
152.292007,347.648987,93.0,1.9731278535996986,19,342,9
337.131012,362.05899,31.0,1.505149978319906,2,276,7
631.010986,443.962006,0.0,0.0,31,2167,7
245.641998,426.362,0.0,0.0,17,2676,2
95.161003,416.279999,0.0,0.0,17,2676,9
508.174011,429.858002,0.0,0.0,31,2167,6
608.848999,248.307007,0.0,0.0,31,2167,4
480.692993,159.154999,34.0,1.5440680443502757,42,612,10
108.983002,81.510002,28700.0,4.457897028682284,8,936,11
178.016006,402.902008,0.0,0.0,17,2676,10
518.534973,439.873993,0.0,0.0,31,2167,7
311.152008,344.179993,0.0,0.0,2,276,13
275.852997,415.115997,0.0,0.0,17,2676,4
425.753998,121.133003,175.0,2.24551266781415,42,612,9
436.927002,140.483994,378.0,2.578639209968072,42,612,8
271.466003,280.044006,0.0,0.0,17,2676,6
168.973999,251.395004,0.0,0.0,17,2676,9
144.906998,113.889,228.0,2.359835482339888,8,936,4
449.123993,129.988998,13.0,1.146128035678238,42,612,6
131.936996,149.259003,0.0,0.0,12,1025,6
382.863007,386.951996,0.0,0.0,17,2676,7
476.02301,341.609009,0.0,0.0,17,2676,5
344.265015,413.817993,0.0,0.0,17,2676,6
318.313995,91.872002,1048.0,3.020775488193558,8,936,6
639.960999,256.539001,0.0,0.0,31,2167,6
176.649994,371.484985,39.0,1.6020599913279623,19,342,14
632.093994,426.82901,0.0,0.0,31,2167,7
523.307007,433.528992,0.0,0.0,31,2167,9
518.202026,424.382996,0.0,0.0,31,2167,6
563.268005,318.037994,0.0,0.0,31,2167,5
656.109985,136.136002,0.0,0.0,31,2167,4
612.294006,173.192001,0.0,0.0,31,2167,6
228.218002,148.266998,0.0,0.0,12,1025,7
558.505981,148.826996,219.0,2.342422680822206,22,579,11
185.067993,270.967987,0.0,0.0,17,2676,10
375.664001,273.917999,0.0,0.0,17,2676,6
165.121002,345.513,295.0,2.4712917110589387,19,342,12
67.906998,90.611,318.0,2.503790683057181,8,936,10
288.796997,161.382996,0.0,0.0,12,1025,3
235.466003,254.389999,0.0,0.0,17,2676,6
665.776978,441.686005,0.0,0.0,31,2167,7
433.845001,353.803986,0.0,0.0,17,2676,7
673.594971,415.084991,0.0,0.0,31,2167,3
128.035995,360.951996,0.0,0.0,19,342,4
560.612976,200.313004,104.0,2.0211892990699383,22,579,5
523.039978,447.243011,0.0,0.0,31,2167,7
485.294006,161.151993,34.0,1.5440680443502757,42,612,12
444.571991,143.869995,862.0,2.9360107957152097,42,612,12
316.298004,434.391998,0.0,0.0,17,2676,5
402.77301,284.217987,0.0,0.0,17,2676,7
539.406982,427.306,0.0,0.0,31,2167,3
68.055,393.717987,0.0,0.0,17,2676,5
521.958008,89.828003,35.0,1.5563025007672873,42,612,9
131.722,173.658997,0.0,0.0,12,1025,7
40.112,148.011002,0.0,0.0,12,1025,6
358.221985,339.085999,244.0,2.3891660843645326,2,276,4
509.088013,420.188995,0.0,0.0,31,2167,3
24.009001,107.766998,584.0,2.7671558660821804,8,936,4
315.852997,272.647003,0.0,0.0,17,2676,7
642.843994,172.613998,0.0,0.0,31,2167,6
510.980011,387.895996,0.0,0.0,31,2167,7
456.320007,85.624001,42.0,1.6334684555795864,42,612,5
454.712006,141.061996,306.0,2.4871383754771865,42,612,7
381.389008,264.362,0.0,0.0,17,2676,7
137.136993,281.847992,0.0,0.0,17,2676,6
367.864014,404.339996,0.0,0.0,17,2676,3
310.859985,76.639999,3569.0,3.552668216112193,8,936,6
240.369995,87.621002,712.0,2.8530895298518657,8,936,3
198.516998,97.117996,38532.0,4.5858328224759175,8,936,6
233.964996,172.781998,0.0,0.0,12,1025,8
409.411987,296.240997,0.0,0.0,17,2676,8
268.402008,326.884003,0.0,0.0,45,4,1
57.223999,77.799004,156.0,2.1958996524092336,8,936,8
253.723999,263.118011,0.0,0.0,17,2676,9
466.089996,154.477997,0.0,0.0,42,612,5
138.531006,89.481003,259.0,2.4149733479708178,8,936,7
349.174988,363.209015,34.0,1.5440680443502757,2,276,7
464.197998,48.134998,0.0,0.0,42,612,3
655.112,337.112,0.0,0.0,26,230,2
231.348007,149.408005,0.0,0.0,12,1025,4
514.020996,350.737,0.0,0.0,31,2167,9
653.344971,439.667999,0.0,0.0,31,2167,6
324.541992,75.254997,181.0,2.2600713879850747,8,936,8
670.314026,321.296997,0.0,0.0,25,13,2
525.236023,224.789993,265.0,2.424881636631067,22,579,6
406.260986,378.575989,0.0,0.0,17,2676,9
328.294006,399.600006,0.0,0.0,17,2676,4
65.650002,105.292,0.0,0.0,8,936,7
537.830994,386.027008,0.0,0.0,31,2167,3
88.382004,391.389008,0.0,0.0,17,2676,11
67.466003,276.843994,0.0,0.0,17,2676,4
229.302002,94.68,33885.0,4.530020306504705,8,936,6
78.622002,92.777,0.0,0.0,8,936,4
290.497009,99.792999,464.0,2.667452952889954,8,936,4
153.878006,372.265991,0.0,0.0,19,342,8
557.546021,183.662994,4754.0,3.6771505212734326,22,579,5
30.152,302.263,0.0,0.0,17,2676,6
438.148987,359.138,0.0,0.0,17,2676,2
440.808014,333.631989,0.0,0.0,17,2676,3
36.111,299.346985,0.0,0.0,17,2676,6
84.956001,163.597,0.0,0.0,12,1025,8
639.867004,306.737,0.0,0.0,26,230,9
144.095001,75.677002,923.0,2.9656719712201065,8,936,7
454.322998,71.044998,850.0,2.929929560084588,42,612,8
259.006012,108.685997,272.0,2.436162647040756,8,936,6
249.354004,183.113998,0.0,0.0,12,1025,6
302.552002,283.863007,0.0,0.0,17,2676,2
541.992981,430.812012,0.0,0.0,31,2167,6
328.027008,258.38501,0.0,0.0,17,2676,6
218.354004,98.038002,49.0,1.6989700043360187,8,936,8
659.577026,101.893997,0.0,0.0,31,2167,7
210.802002,171.526001,0.0,0.0,12,1025,7
57.030998,170.727005,0.0,0.0,12,1025,5
258.354004,160.106003,0.0,0.0,12,1025,3
535.715027,214.516998,602.0,2.780317312140151,22,579,11
548.89502,353.427002,0.0,0.0,31,2167,8
600.762024,262.48999,0.0,0.0,31,2167,4
138.190994,369.528015,168.0,2.2278867046136734,19,342,9
248.820007,144.889999,0.0,0.0,12,1025,8
117.363998,261.468994,0.0,0.0,17,2676,6
146.826996,252.020004,0.0,0.0,17,2676,6
422.298004,146.255997,0.0,0.0,42,612,4
153.636002,309.867004,180.0,2.2576785748691846,19,342,6
530.757996,338.81601,0.0,0.0,31,2167,7
206.397995,74.276001,580.0,2.7641761323903307,8,936,5
32.810001,170.112,0.0,0.0,12,1025,5
610.78302,420.506989,0.0,0.0,31,2167,4
65.958,286.636993,0.0,0.0,17,2676,10
310.510986,345.281006,140.0,2.1492191126553797,2,276,14
487.299988,161.199005,90.0,1.9590413923210936,42,612,10
239.447006,407.908997,0.0,0.0,17,2676,8
291.156006,104.052002,2463.0,3.3916407034923877,8,936,4
631.588989,210.143997,0.0,0.0,31,2167,7
571.997009,185.255005,538.0,2.7315887651867388,22,579,5
100.069,280.795013,0.0,0.0,17,2676,6
409.072998,398.273987,0.0,0.0,17,2676,8
35.236,176.363998,0.0,0.0,12,1025,11
568.807983,167.182999,0.0,0.0,22,579,5
538.963989,455.894989,0.0,0.0,31,2167,6
496.016998,410.996002,0.0,0.0,46,4,2
280.691986,265.170013,0.0,0.0,17,2676,11
461.053986,58.123001,19.0,1.3010299956639813,42,612,8
58.445,146.639999,0.0,0.0,12,1025,10
128.432007,290.269012,0.0,0.0,17,2676,13
154.330994,123.141998,0.0,0.0,24,4,3
256.127991,251.643005,0.0,0.0,17,2676,5
39.911999,150.513,0.0,0.0,12,1025,6
666.825012,430.519012,0.0,0.0,31,2167,8
21.462,77.293999,293.0,2.4683473304121573,8,936,6
63.834,407.371002,0.0,0.0,17,2676,4
647.169006,171.828003,0.0,0.0,31,2167,15
601.317017,184.681,0.0,0.0,31,2167,1
354.291992,352.268005,678.0,2.8318697742805017,2,276,2
7.798,335.317993,0.0,0.0,17,2676,5
337.036011,356.350006,201.0,2.305351369446624,2,276,4
70.635002,409.332001,0.0,0.0,17,2676,4
52.622002,289.036987,0.0,0.0,17,2676,4
606.388977,374.335999,0.0,0.0,18,6,4
681.163025,433.358002,0.0,0.0,31,2167,4
683.671021,422.505005,0.0,0.0,31,2167,2
552.33197,170.764999,364.0,2.5622928644564746,22,579,5
233.996002,72.875999,0.0,0.0,8,936,7
643.419983,175.623993,0.0,0.0,31,2167,8
137.783997,402.600006,0.0,0.0,17,2676,7
489.923004,156.906998,122.0,2.089905111439398,42,612,14
312.424011,430.181,0.0,0.0,17,2676,8
41.459,74.058998,95.0,1.9822712330395684,8,936,4
637.52002,346.696014,0.0,0.0,26,230,8
554.197998,309.187012,0.0,0.0,31,2167,7
383.688995,293.131989,0.0,0.0,17,2676,7
643.382996,143.582001,0.0,0.0,31,2167,6
595.015991,436.411987,0.0,0.0,31,2167,5
173.621994,162.210999,0.0,0.0,12,1025,10
216.906998,114.343002,4.0,0.6989700043360189,8,936,6
662.197021,357.123993,23.0,1.380211241711606,26,230,6
619.559021,136.572006,0.0,0.0,31,2167,9
396.144989,287.850006,0.0,0.0,17,2676,7
537.47998,372.144012,0.0,0.0,31,2167,8
193.875,342.381989,92.0,1.968482948553935,19,342,8
625.698975,336.246002,23.0,1.380211241711606,26,230,7
28.163,104.377998,1592.0,3.2022157758011316,8,936,3
354.631989,418.369995,0.0,0.0,17,2676,2
637.875977,234.050003,0.0,0.0,31,2167,6
578.749023,155.158005,0.0,0.0,22,579,5
262.704987,262.756012,0.0,0.0,17,2676,10
271.326996,120.799004,0.0,0.0,8,936,3
53.695999,140.332993,0.0,0.0,12,1025,4
675.021973,441.903992,0.0,0.0,31,2167,6
211.126007,414.872986,0.0,0.0,17,2676,8
291.239014,267.566986,0.0,0.0,17,2676,6
418.200989,285.682007,0.0,0.0,17,2676,3
144.727005,363.410004,10.0,1.0413926851582251,19,342,7
146.688995,68.014,0.0,0.0,8,936,5
56.216,139.917999,0.0,0.0,12,1025,6
423.317993,149.014999,0.0,0.0,42,612,4
58.500999,152.589996,0.0,0.0,12,1025,6
458.55899,64.913002,173.0,2.2405492482826,42,612,7
394.864014,286.81601,0.0,0.0,17,2676,7
656.64801,123.617996,0.0,0.0,31,2167,7
304.612,357.527008,0.0,0.0,2,276,1
497.729004,179.009995,42.0,1.6334684555795864,42,612,6
462.196991,148.753006,0.0,0.0,42,612,5
176.488998,144.634995,0.0,0.0,12,1025,8
608.171997,452.337006,0.0,0.0,31,2167,6
115.486,177.085007,0.0,0.0,12,1025,7
611.828979,204.873001,0.0,0.0,31,2167,5
661.827026,333.678009,0.0,0.0,26,230,7
219.5,413.658997,0.0,0.0,17,2676,8
445.59201,359.608002,0.0,0.0,17,2676,10
459.976013,59.185001,8341.0,3.9212701855098127,42,612,11
515.737,354.632996,0.0,0.0,31,2167,4
69.353996,276.035004,0.0,0.0,17,2676,3
104.567001,288.074005,0.0,0.0,17,2676,8
540.018982,134.873001,996.0,2.998695158311656,22,579,5
261.03299,257.946014,0.0,0.0,17,2676,7
116.117996,270.098999,0.0,0.0,17,2676,11
329.838013,407.196014,0.0,0.0,17,2676,3
388.661987,297.95401,0.0,0.0,17,2676,6
266.255005,409.427002,0.0,0.0,17,2676,3
429.359985,108.485001,0.0,0.0,42,612,4
316.522003,356.910004,1.0,0.3010299956639812,2,276,6
212.570007,424.279999,0.0,0.0,17,2676,7
70.260002,90.167999,2872.0,3.4583356259919475,8,936,10
593.078003,403.316986,0.0,0.0,31,2167,9
321.473999,383.121002,0.0,0.0,1,31,4
156.063995,334.575989,126.0,2.103803720955957,19,342,7
175.639008,430.992004,0.0,0.0,17,2676,12
517.895996,55.445999,0.0,0.0,42,612,6
93.419998,153.067993,0.0,0.0,12,1025,6
173.811996,435.535004,0.0,0.0,17,2676,9
578.695007,410.891998,0.0,0.0,31,2167,7
27.452999,303.158997,0.0,0.0,17,2676,6
97.228996,167.076004,0.0,0.0,12,1025,8
476.85199,179.141006,0.0,0.0,42,612,3
179.783005,315.420013,13.0,1.146128035678238,19,342,3
554.689026,237.095993,0.0,0.0,22,579,7
408.576996,300.765015,0.0,0.0,17,2676,9
92.035004,106.078003,192.0,2.285557309007774,8,936,7
465.438995,325.735992,0.0,0.0,17,2676,5
449.596008,337.957001,0.0,0.0,17,2676,7
414.526001,384.118988,0.0,0.0,17,2676,7
658.52301,125.338997,0.0,0.0,31,2167,6
551.945984,321.266998,0.0,0.0,31,2167,8
628.755981,281.993988,0.0,0.0,31,2167,10
160.227005,327.049011,176.0,2.247973266361807,19,342,8
306.480011,140.395004,0.0,0.0,12,1025,6
522.469971,411.807007,0.0,0.0,31,2167,11
215.738007,99.917,801.0,2.9041743682841634,8,936,6
617.012024,146.807007,0.0,0.0,31,2167,6
247.634995,109.885002,26.0,1.4313637641589874,8,936,5
570.13501,181.315994,291.0,2.4653828514484184,22,579,7
537.072998,343.324005,0.0,0.0,31,2167,6
567.218018,146.138,0.0,0.0,22,579,2
544.39801,202.037003,13.0,1.146128035678238,22,579,8
535.007019,354.878998,0.0,0.0,31,2167,11
238.095993,82.255997,7520.0,3.876275588677879,8,936,4
328.156006,103.931,175.0,2.24551266781415,8,936,10
40.938,393.513,0.0,0.0,17,2676,4
429.5,157.832001,0.0,0.0,42,612,4
665.200012,136.75,0.0,0.0,31,2167,4
273.786987,171.162994,0.0,0.0,12,1025,6
679.984985,341.546997,22.0,1.3617278360175928,26,230,5
441.286987,75.081001,42.0,1.6334684555795864,42,612,13
423.536011,397.091003,0.0,0.0,17,2676,7
358.660004,276.619995,0.0,0.0,17,2676,10
493.109009,222.595001,73.0,1.8692317197309762,22,579,9
112.874001,418.187988,0.0,0.0,17,2676,7
597.882019,443.503998,0.0,0.0,31,2167,10
288.790009,438.928009,0.0,0.0,17,2676,6
